ST_CASE,State Name,State Abbreviation,# of Vehicle involved,Parked_Vehicles_Involved,Pedestrains,Person_Not_in_Motor_Vehicle,Persons_in_motor_vehicle,Total_Persons_in_accident,COUNTY,CITY,City_County_Name,Calendar_DAY,MONTH,Month_name,YEAR,DAY_WEEK,Day_Week_desc,HOUR,MINUTE,NHS_Desc,trafficway,Route,MILEPT,LATITUDE,LONGITUD,First_Crash_event,Light_cond_desc,Weather_condition,School_bus_involved,Crash_cause,FATALS,DRUNK_DR
10001,ALABAMA,AL,1,1,0,0,2,2,81,0,AUBURN,1,1,January,2012,1,Sunday,20,33,1,2,2,987,32.70131667,-85.52518056,1,2,0,0,0,1,1
10002,ALABAMA,AL,2,1,0,0,1,1,83,0,ARDMORE,1,1,January,2012,1,Sunday,13,15,0,16,4,0,34.74250833,-86.88350556,14,1,0,0,0,1,0
10003,ALABAMA,AL,1,1,0,0,6,6,105,0,MARION,2,1,January,2012,2,Monday,1,35,1,2,3,558,32.55205278,-87.34776944,35,2,0,0,0,1,0
10004,ALABAMA,AL,2,2,0,0,5,5,81,2340,AUBURN,5,1,January,2012,5,Thursday,15,12,1,11,1,620,32.64143611,-85.35430000,12,1,0,0,0,1,0
10005,ALABAMA,AL,1,1,0,0,1,1,77,0,ANDERSON,6,1,January,2012,6,Friday,6,0,0,5,4,0,34.92802778,-87.81505556,42,4,0,0,0,1,0
10006,ALABAMA,AL,2,2,1,1,2,2,101,2130,BOYLSTON,8,1,January,2012,1,Sunday,18,41,0,12,6,0,32.38015556,-86.29790278,8,3,0,0,0,1,0
10007,ALABAMA,AL,1,1,0,0,1,1,47,0,BROWNS,8,1,January,2012,1,Sunday,3,0,0,3,4,0,32.42127222,-87.08690000,34,2,0,0,0,1,1
10008,ALABAMA,AL,1,1,0,0,1,1,123,0,ALEXANDER CITY,4,1,January,2012,4,Wednesday,1,50,0,3,3,360,32.90949722,-85.75887500,35,2,0,0,0,1,1
10009,ALABAMA,AL,2,2,1,1,1,1,115,2410,ASHVILLE,1,1,January,2012,1,Sunday,18,42,0,14,3,0,33.58091944,-86.27647222,12,3,0,0,0,1,0
10010,ALABAMA,AL,1,1,1,1,3,3,51,3270,CENTRAL,4,1,January,2012,4,Wednesday,18,28,1,12,2,0,32.51617500,-86.21178889,8,2,0,0,0,1,0
10011,ALABAMA,AL,1,1,0,0,1,1,73,350,ARGO,6,1,January,2012,6,Friday,13,36,0,16,6,0,33.57260000,-86.65275000,31,1,0,0,0,1,0
10012,ALABAMA,AL,1,1,1,1,1,1,127,1780,BURNWELL,22,1,January,2012,1,Sunday,19,49,0,14,6,0,33.83251111,-87.26960278,8,3,0,0,0,1,0
10013,ALABAMA,AL,1,1,0,0,1,1,49,1632,COLLINSVILLE,25,1,January,2012,4,Wednesday,18,40,0,15,6,0,34.65639167,-85.72738333,1,2,0,0,0,1,0
10014,ALABAMA,AL,1,1,0,0,1,1,93,270,BEAR CREEK,27,1,January,2012,6,Friday,18,50,0,15,3,0,34.27694167,-87.71489167,42,2,0,0,0,1,0
10015,ALABAMA,AL,2,2,0,0,5,5,115,0,ASHVILLE,1,1,January,2012,1,Sunday,3,30,1,1,1,1513,33.73851111,-86.48933611,12,2,0,0,0,2,1
10016,ALABAMA,AL,1,1,0,0,1,1,115,0,ASHVILLE,3,1,January,2012,3,Tuesday,12,10,0,4,4,0,33.95131667,-86.29692778,38,1,0,0,0,1,0
10017,ALABAMA,AL,1,1,0,0,1,1,129,0,BIGBEE,3,1,January,2012,3,Tuesday,16,10,0,4,4,0,31.35445278,-88.22942778,53,1,0,0,0,1,0
10018,ALABAMA,AL,2,2,0,0,2,2,133,1953,ARLEY,4,1,January,2012,4,Wednesday,10,30,0,14,3,1927,34.05263333,-87.55327778,12,1,0,0,0,1,0
10019,ALABAMA,AL,1,1,0,0,1,1,111,0,GRAHAM,6,1,January,2012,6,Friday,22,35,0,6,4,0,33.37958889,-85.31454444,1,2,0,0,0,1,1
