State Name,Expr1001,Light_cond_desc,Weather_condition,Month_name,YEAR,Day_Week_desc,SumOfFATALS,SumOfDRUNK_DR
ALABAMA,April,Dark - but lighted,Clear,April,2013,Friday,3,1
ALABAMA,April,Dark - but lighted,Clear,April,2013,Monday,1,0
ALABAMA,April,Dark - but lighted,Clear,April,2013,Saturday,1,1
ALABAMA,April,Dark - but lighted,Clear,April,2013,Sunday,1,0
ALABAMA,April,Dark - but lighted,Cloudy,April,2013,Sunday,2,0
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Friday,1,1
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Monday,1,0
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Saturday,6,3
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Sunday,1,0
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Thursday,2,1
ALABAMA,April,Dark - Not lighted,Clear,April,2013,Tuesday,3,1
ALABAMA,April,Dark - Not lighted,Cloudy,April,2013,Thursday,3,0
ALABAMA,April,Dark - Not lighted,Cloudy,April,2013,Wednesday,1,0
ALABAMA,April,Dark - Not lighted,Rain,April,2013,Monday,1,0
ALABAMA,April,Dark - Unknown Lighting,Clear,April,2013,Friday,1,1
ALABAMA,April,Dawn,Clear,April,2013,Sunday,1,1
ALABAMA,April,Daylight,Clear,April,2013,Friday,8,0
ALABAMA,April,Daylight,Clear,April,2013,Monday,3,0
ALABAMA,April,Daylight,Clear,April,2013,Saturday,7,0
ALABAMA,April,Daylight,Clear,April,2013,Thursday,3,2
ALABAMA,April,Daylight,Clear,April,2013,Tuesday,5,0
ALABAMA,April,Daylight,Clear,April,2013,Wednesday,3,0
ALABAMA,April,Daylight,Cloudy,April,2013,Friday,1,0
ALABAMA,April,Daylight,Cloudy,April,2013,Monday,3,0
ALABAMA,April,Daylight,Cloudy,April,2013,Sunday,2,0
ALABAMA,April,Daylight,Cloudy,April,2013,Tuesday,2,0
ALABAMA,April,Daylight,Cloudy,April,2013,Wednesday,1,0
ALABAMA,April,Daylight,Fog Smog Smoke,April,2013,Monday,1,0
ALABAMA,April,Daylight,Rain,April,2013,Friday,2,0
ALABAMA,April,Daylight,Rain,April,2013,Monday,1,0
ALABAMA,April,Daylight,Rain,April,2013,Sunday,2,0
ALABAMA,April,Daylight,Rain,April,2013,Thursday,2,0
ALABAMA,August,Dark - but lighted,Clear,August,2013,Friday,1,0
ALABAMA,August,Dark - but lighted,Clear,August,2013,Monday,1,1
ALABAMA,August,Dark - but lighted,Clear,August,2013,Sunday,1,1
ALABAMA,August,Dark - but lighted,Cloudy,August,2013,Thursday,1,1
ALABAMA,August,Dark - Not lighted,Clear,August,2013,Friday,1,0
ALABAMA,August,Dark - Not lighted,Clear,August,2013,Saturday,4,3
ALABAMA,August,Dark - Not lighted,Clear,August,2013,Sunday,3,3
ALABAMA,August,Dark - Not lighted,Cloudy,August,2013,Friday,2,0
ALABAMA,August,Dark - Not lighted,Cloudy,August,2013,Monday,2,1
ALABAMA,August,Dark - Not lighted,Cloudy,August,2013,Sunday,1,1
ALABAMA,August,Dark - Not lighted,Fog Smog Smoke,August,2013,Monday,1,0
ALABAMA,August,Dark - Not lighted,Fog Smog Smoke,August,2013,Saturday,1,0
ALABAMA,August,Dark - Not lighted,Rain,August,2013,Saturday,1,0
ALABAMA,August,Dark - Not lighted,Rain,August,2013,Sunday,2,2
ALABAMA,August,Dark - Not lighted,Unknown,August,2013,Sunday,1,0
ALABAMA,August,Dawn,Clear,August,2013,Wednesday,1,0
ALABAMA,August,Daylight,Clear,August,2013,Friday,6,1
ALABAMA,August,Daylight,Clear,August,2013,Monday,3,0
ALABAMA,August,Daylight,Clear,August,2013,Thursday,5,0
ALABAMA,August,Daylight,Clear,August,2013,Tuesday,1,0
ALABAMA,August,Daylight,Clear,August,2013,Wednesday,3,1
ALABAMA,August,Daylight,Cloudy,August,2013,Friday,1,0
ALABAMA,August,Daylight,Cloudy,August,2013,Monday,1,1
ALABAMA,August,Daylight,Cloudy,August,2013,Thursday,1,0
ALABAMA,August,Daylight,Cloudy,August,2013,Tuesday,2,0
ALABAMA,August,Daylight,Cloudy,August,2013,Wednesday,1,0
ALABAMA,August,Daylight,Fog Smog Smoke,August,2013,Thursday,1,0
ALABAMA,August,Daylight,Rain,August,2013,Tuesday,1,0
ALABAMA,December,Dark - but lighted,Clear,December,2013,Saturday,1,1
ALABAMA,December,Dark - but lighted,Clear,December,2013,Thursday,2,1
ALABAMA,December,Dark - but lighted,Clear,December,2013,Wednesday,1,0
ALABAMA,December,Dark - but lighted,Cloudy,December,2013,Friday,1,0
ALABAMA,December,Dark - but lighted,Cloudy,December,2013,Saturday,2,0
ALABAMA,December,Dark - but lighted,Rain,December,2013,Saturday,3,0
ALABAMA,December,Dark - but lighted,Rain,December,2013,Sunday,1,1
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Friday,1,1
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Saturday,1,1
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Sunday,4,1
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Thursday,1,0
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Tuesday,1,0
ALABAMA,December,Dark - Not lighted,Clear,December,2013,Wednesday,1,1
ALABAMA,December,Dark - Not lighted,Cloudy,December,2013,Friday,1,0
