State Name,State Abbreviation,Calendar_DAY,Month_name,YEAR,Full_Date,First_Crash_event,Light_cond_desc,Weather_condition,Sum Of . of Vehicle involved,Sum Of Pedestrains,Sum Of Total_Persons_in_accident,Sum Of FATALS,Count Of Accident-2013
ALABAMA,AL,1,April,2013,April-1-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,11,1,1
ALABAMA,AL,1,April,2013,April-1-2013,Tree (Standing Only),Daylight,Clear,1,0,1,1,1
ALABAMA,AL,1,August,2013,August-1-2013,Tree (Standing Only),Daylight,Clear,1,0,1,1,1
ALABAMA,AL,1,August,2013,August-1-2013,Tree (Standing Only),Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,1,December,2013,December-1-2013,Rollover/Overturn,Dark - Not lighted,Clear,1,0,2,1,1
ALABAMA,AL,1,February,2013,February-1-2013,Culvert,Daylight,Clear,2,0,5,2,1
ALABAMA,AL,1,February,2013,February-1-2013,Tree (Standing Only),Dark - but lighted,Clear,1,0,1,1,1
ALABAMA,AL,1,July,2013,July-1-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,3,1,1
ALABAMA,AL,1,July,2013,July-1-2013,Tree (Standing Only),Dark - Not lighted,Clear,2,0,3,3,2
ALABAMA,AL,1,June,2013,June-1-2013,Ditch,Dark - Not lighted,Cloudy,1,0,1,1,1
ALABAMA,AL,1,June,2013,June-1-2013,Motor Vehicle in Transport,Daylight,Cloudy,2,0,2,1,1
ALABAMA,AL,1,June,2013,June-1-2013,Pedestrian,Dark - Not lighted,Clear,2,1,3,1,1
ALABAMA,AL,1,June,2013,June-1-2013,Rollover/Overturn,Dark - Not lighted,Cloudy,1,0,2,2,1
ALABAMA,AL,1,June,2013,June-1-2013,Utility Pole/Light Support,Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,1,March,2013,March-1-2013,Motor Vehicle in Transport,Dark - but lighted,Clear,2,0,7,2,1
ALABAMA,AL,1,May,2013,May-1-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,3,2,1
ALABAMA,AL,1,November,2013,November-1-2013,Motor Vehicle in Transport,Dark - but lighted,Clear,3,0,3,1,1
ALABAMA,AL,1,October,2013,October-1-2013,Embankment,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,1,October,2013,October-1-2013,Embankment,Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,1,October,2013,October-1-2013,Rollover/Overturn,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,1,October,2013,October-1-2013,Tree (Standing Only),Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,1,September,2013,September-1-2013,Motor Vehicle in Transport,Daylight,Clear,6,0,8,4,3
ALABAMA,AL,1,September,2013,September-1-2013,Pedestrian,Dark - Unknown Lighting,Not Reported,1,1,1,1,1
ALABAMA,AL,1,September,2013,September-1-2013,Tree (Standing Only),Dark - Not lighted,Clear,1,0,2,1,1
ALABAMA,AL,2,April,2013,April-2-2013,Motor Vehicle in Transport,Daylight,Clear,6,0,8,2,2
ALABAMA,AL,2,August,2013,August-2-2013,Motor Vehicle in Transport,Daylight,Clear,4,0,4,2,2
ALABAMA,AL,2,December,2013,December-2-2013,Ditch,Daylight,Rain,1,0,2,2,1
ALABAMA,AL,2,December,2013,December-2-2013,Rollover/Overturn,Daylight,Rain,1,0,1,1,1
ALABAMA,AL,2,February,2013,February-2-2013,Motor Vehicle in Transport,Dark - but lighted,Cloudy,2,0,5,1,1
ALABAMA,AL,2,February,2013,February-2-2013,Pedestrian,Dark - but lighted,Clear,1,1,1,1,1
ALABAMA,AL,2,July,2013,July-2-2013,Ditch,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,2,June,2013,June-2-2013,Ditch,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,2,June,2013,June-2-2013,Embankment,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,2,June,2013,June-2-2013,Motor Vehicle in Transport,Dark - Not lighted,Clear,5,0,8,4,2
ALABAMA,AL,2,May,2013,May-2-2013,Utility Pole/Light Support,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,2,November,2013,November-2-2013,Motor Vehicle in Transport,Dark - Not lighted,Clear,2,0,5,3,1
ALABAMA,AL,2,November,2013,November-2-2013,Rollover/Overturn,Dark - Not lighted,Cloudy,1,0,1,1,1
ALABAMA,AL,2,November,2013,November-2-2013,Tree (Standing Only),Daylight,Clear,1,0,2,2,1
ALABAMA,AL,2,October,2013,October-2-2013,Ditch,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,2,October,2013,October-2-2013,Fence,Dark - but lighted,Clear,1,0,1,1,1
ALABAMA,AL,2,October,2013,October-2-2013,Pedestrian,Dark - Not lighted,Cloudy,1,1,1,1,1
ALABAMA,AL,2,September,2013,September-2-2013,Ditch,Dark - Not lighted,Cloudy,1,0,1,1,1
ALABAMA,AL,2,September,2013,September-2-2013,Pedestrian,Dark - Not lighted,Clear,1,1,1,1,1
ALABAMA,AL,2,September,2013,September-2-2013,Rollover/Overturn,Dark - Not lighted,Cloudy,1,0,1,1,1
ALABAMA,AL,3,April,2013,April-3-2013,Tree (Standing Only),Daylight,Clear,1,0,5,2,1
ALABAMA,AL,3,August,2013,August-3-2013,Guardrail Face,Dark - Not lighted,Fog Smog Smoke,1,0,1,1,1
ALABAMA,AL,3,August,2013,August-3-2013,Tree (Standing Only),Dark - Not lighted,Clear,1,0,3,1,1
ALABAMA,AL,3,December,2013,December-3-2013,Motor Vehicle in Transport,Dark - Not lighted,Cloudy,2,0,2,1,1
ALABAMA,AL,3,February,2013,February-3-2013,Curb,Dark - but lighted,Clear,1,0,1,1,1
ALABAMA,AL,3,February,2013,February-3-2013,Fire Hydrant,Dark - but lighted,Clear,1,0,1,1,1
ALABAMA,AL,3,February,2013,February-3-2013,Motor Vehicle in Transport,Dark - but lighted,Cloudy,2,0,2,1,1
ALABAMA,AL,3,January,2013,January-3-2013,Motor Vehicle in Transport,Dark - but lighted,Cloudy,2,0,2,1,1
ALABAMA,AL,3,January,2013,January-3-2013,Pedestrian,Dark - but lighted,Cloudy,2,1,2,1,1
ALABAMA,AL,3,July,2013,July-3-2013,Embankment,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,3,July,2013,July-3-2013,Rollover/Overturn,Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,3,July,2013,July-3-2013,Utility Pole/Light Support,Dark - Unknown Lighting,Clear,1,0,1,1,1
ALABAMA,AL,3,June,2013,June-3-2013,Bridge Pier or Support,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,3,June,2013,June-3-2013,Mail Box,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,3,March,2013,March-3-2013,Building,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,3,March,2013,March-3-2013,Embankment,Dawn,Cloudy,1,0,1,1,1
ALABAMA,AL,3,March,2013,March-3-2013,Motor Vehicle in Transport,Dark - but lighted,Clear,2,0,3,1,1
ALABAMA,AL,3,March,2013,March-3-2013,Pedestrian,Dark - but lighted,Clear,1,1,1,1,1
ALABAMA,AL,3,March,2013,March-3-2013,Rollover/Overturn,Dark - but lighted,Cloudy,1,0,3,1,1
ALABAMA,AL,3,May,2013,May-3-2013,Pedestrian,Dark - but lighted,Clear,1,3,1,1,1
ALABAMA,AL,3,November,2013,November-3-2013,Mail Box,Dark - but lighted,Clear,1,0,1,1,1
ALABAMA,AL,3,November,2013,November-3-2013,Motor Vehicle in Transport,Dark - Not lighted,Clear,2,0,3,1,1
ALABAMA,AL,3,November,2013,November-3-2013,Utility Pole/Light Support,Dark - Not lighted,Clear,2,0,1,1,1
ALABAMA,AL,3,October,2013,October-3-2013,Fire/Explosion,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,3,September,2013,September-3-2013,Ditch,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,3,September,2013,September-3-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,2,1,1
ALABAMA,AL,3,September,2013,September-3-2013,Pedalcyclist,Daylight,Clear,1,1,1,1,1
ALABAMA,AL,4,April,2013,April-4-2013,Motor Vehicle in Transport,Daylight,Rain,2,0,2,2,1
ALABAMA,AL,4,August,2013,August-4-2013,Motor Vehicle in Transport,Dark - Not lighted,Clear,2,0,2,1,1
ALABAMA,AL,4,December,2013,December-4-2013,Motor Vehicle in Transport,Dark - Not lighted,Fog Smog Smoke,2,0,2,1,1
ALABAMA,AL,4,December,2013,December-4-2013,Motor Vehicle in Transport,Daylight,Cloudy,2,0,2,1,1
ALABAMA,AL,4,December,2013,December-4-2013,Tree (Standing Only),Dark - Not lighted,Fog Smog Smoke,1,0,1,1,1
ALABAMA,AL,4,December,2013,December-4-2013,Tree (Standing Only),Dark - Not lighted,Rain,1,0,1,1,1
ALABAMA,AL,4,February,2013,February-4-2013,Other Object (Not Fixed),Daylight,Cloudy,1,0,1,1,1
ALABAMA,AL,4,July,2013,July-4-2013,Tree (Standing Only),Unknown,Unknown,1,0,1,1,1
ALABAMA,AL,4,March,2013,March-4-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,3,1,1
ALABAMA,AL,4,May,2013,May-4-2013,Pedestrian,Dark - Not lighted,Rain,1,1,1,1,1
ALABAMA,AL,4,October,2013,October-4-2013,Ditch,Dark - Not lighted,Clear,1,0,1,1,1
ALABAMA,AL,4,October,2013,October-4-2013,Motor Vehicle in Transport,Daylight,Clear,2,0,3,1,1
ALABAMA,AL,4,October,2013,October-4-2013,Pedestrian,Daylight,Clear,2,1,1,1,1
ALABAMA,AL,4,September,2013,September-4-2013,Concrete Traffic Barrier,Daylight,Clear,1,0,1,1,1
ALABAMA,AL,4,September,2013,September-4-2013,Ditch,Dark - Not lighted,Clear,1,0,2,1,1
ALABAMA,AL,5,April,2013,April-5-2013,Motor Vehicle in Transport,Dark - but lighted,Clear,2,0,4,2,1
ALABAMA,AL,5,April,2013,April-5-2013,Motor Vehicle in Transport,Daylight,Clear,6,0,8,3,2
