DATE By Day,DATE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,NYPD_MOTOR_VEHICLE_COLLISON_2014,WeekEnd Flag,WRK_WKEND_HOLIDAY
"Wednesday, January 1, 2014",01/01/14,,56,1,2,0,0,0,54,1,88,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,BRONX,17,0,3,0,0,0,14,0,37,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,BROOKLYN,35,0,7,0,0,0,28,0,92,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,MANHATTAN,23,0,9,0,1,0,13,0,76,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,QUEENS,24,0,2,0,1,0,21,0,89,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,STATEN ISLAND,10,1,1,0,0,0,9,1,17,Work day,New Year’s Day
"Thursday, January 2, 2014",01/02/14,,18,1,2,0,0,0,16,1,153,Work day,Work day
"Thursday, January 2, 2014",01/02/14,BRONX,14,1,4,1,0,0,10,0,55,Work day,Work day
"Thursday, January 2, 2014",01/02/14,BROOKLYN,45,1,16,1,0,0,29,0,153,Work day,Work day
"Thursday, January 2, 2014",01/02/14,MANHATTAN,13,0,9,0,0,0,4,0,91,Work day,Work day
"Thursday, January 2, 2014",01/02/14,QUEENS,26,0,3,0,0,0,23,0,117,Work day,Work day
"Thursday, January 2, 2014",01/02/14,STATEN ISLAND,5,0,2,0,0,0,3,0,34,Work day,Work day
"Friday, January 3, 2014",01/03/14,,13,0,1,0,0,0,12,0,105,Work day,Work day
"Friday, January 3, 2014",01/03/14,BRONX,5,0,0,0,0,0,5,0,57,Work day,Work day
"Friday, January 3, 2014",01/03/14,BROOKLYN,4,0,2,0,0,0,2,0,93,Work day,Work day
"Friday, January 3, 2014",01/03/14,MANHATTAN,8,0,4,0,1,0,3,0,69,Work day,Work day
"Friday, January 3, 2014",01/03/14,QUEENS,14,0,2,0,0,0,12,0,82,Work day,Work day
"Friday, January 3, 2014",01/03/14,STATEN ISLAND,2,0,0,0,0,0,2,0,17,Work day,Work day
"Saturday, January 4, 2014",01/04/14,,25,0,4,0,0,0,21,0,115,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,BRONX,15,0,4,0,0,0,11,0,40,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,BROOKLYN,31,0,8,0,0,0,23,0,103,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,MANHATTAN,6,0,4,0,1,0,1,0,58,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,QUEENS,12,0,7,0,0,0,5,0,88,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,STATEN ISLAND,2,0,1,0,0,0,1,0,14,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,,18,0,1,0,0,0,17,0,81,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,BRONX,11,0,0,0,0,0,11,0,26,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,BROOKLYN,11,0,5,0,0,0,6,0,74,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,MANHATTAN,4,0,2,0,1,0,1,0,43,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,QUEENS,16,1,6,1,2,0,8,0,81,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,STATEN ISLAND,3,0,0,0,0,0,3,0,15,Weekend,Weekend
"Monday, January 6, 2014",01/06/14,,28,0,6,0,0,0,22,0,125,Work day,Work day
"Monday, January 6, 2014",01/06/14,BRONX,10,0,1,0,0,0,9,0,47,Work day,Work day
"Monday, January 6, 2014",01/06/14,BROOKLYN,36,1,14,1,4,0,18,0,144,Work day,Work day
"Monday, January 6, 2014",01/06/14,MANHATTAN,20,0,8,0,4,0,8,0,97,Work day,Work day
"Monday, January 6, 2014",01/06/14,QUEENS,10,0,5,0,0,0,5,0,87,Work day,Work day
"Monday, January 6, 2014",01/06/14,STATEN ISLAND,7,0,0,0,0,0,7,0,17,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,,44,0,5,0,0,0,39,0,128,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,BRONX,12,0,3,0,0,0,9,0,44,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,BROOKLYN,18,0,8,0,0,0,10,0,112,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,MANHATTAN,16,0,8,0,2,0,6,0,91,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,QUEENS,27,0,12,0,1,0,14,0,100,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,STATEN ISLAND,2,0,0,0,0,0,2,0,16,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,,42,0,2,0,2,0,38,0,152,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,BRONX,9,0,6,0,0,0,3,0,49,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,BROOKLYN,31,0,12,0,1,0,18,0,143,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,MANHATTAN,19,0,11,0,1,0,7,0,99,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,QUEENS,48,0,12,0,0,0,36,0,150,Work day,Work day
