DATE By Day,DATE,WRK_WKEND_HOLIDAY,Day Of the Week
"Wednesday, January 1, 2014",01/01/14,New Year?s Day,Wednesday
"Thursday, January 2, 2014",01/02/14,Work day,Thursday
"Friday, January 3, 2014",01/03/14,Work day,Friday
"Saturday, January 4, 2014",01/04/14,Weekend,Saturday
"Sunday, January 5, 2014",01/05/14,Weekend,Sunday
"Monday, January 6, 2014",01/06/14,Work day,Monday
"Tuesday, January 7, 2014",01/07/14,Work day,Tuesday
"Wednesday, January 8, 2014",01/08/14,Work day,Wednesday
"Thursday, January 9, 2014",01/09/14,Work day,Thursday
"Friday, January 10, 2014",01/10/14,Work day,Friday
"Saturday, January 11, 2014",01/11/14,Weekend,Saturday
"Sunday, January 12, 2014",01/12/14,Weekend,Sunday
"Monday, January 13, 2014",01/13/14,Work day,Monday
"Tuesday, January 14, 2014",01/14/14,Work day,Tuesday
"Wednesday, January 15, 2014",01/15/14,Work day,Wednesday
"Thursday, January 16, 2014",01/16/14,Work day,Thursday
"Friday, January 17, 2014",01/17/14,Work day,Friday
"Saturday, January 18, 2014",01/18/14,Weekend,Saturday
"Sunday, January 19, 2014",01/19/14,Weekend,Sunday
"Monday, January 20, 2014",01/20/14,"Martin Luther King, Jr. birthday",Monday
"Tuesday, January 21, 2014",01/21/14,Work day,Tuesday
"Wednesday, January 22, 2014",01/22/14,Work day,Wednesday
"Thursday, January 23, 2014",01/23/14,Work day,Thursday
"Friday, January 24, 2014",01/24/14,Work day,Friday
"Saturday, January 25, 2014",01/25/14,Weekend,Saturday
"Sunday, January 26, 2014",01/26/14,Weekend,Sunday
"Monday, January 27, 2014",01/27/14,Work day,Monday
"Tuesday, January 28, 2014",01/28/14,Work day,Tuesday
"Wednesday, January 29, 2014",01/29/14,Work day,Wednesday
"Thursday, January 30, 2014",01/30/14,Work day,Thursday
"Friday, January 31, 2014",01/31/14,Work day,Friday
"Saturday, February 1, 2014",02/01/14,Weekend,Saturday
"Sunday, February 2, 2014",02/02/14,Weekend,Sunday
"Monday, February 3, 2014",02/03/14,Work day,Monday
"Tuesday, February 4, 2014",02/04/14,Work day,Tuesday
"Wednesday, February 5, 2014",02/05/14,Work day,Wednesday
"Thursday, February 6, 2014",02/06/14,Work day,Thursday
"Friday, February 7, 2014",02/07/14,Work day,Friday
"Saturday, February 8, 2014",02/08/14,Weekend,Saturday
"Sunday, February 9, 2014",02/09/14,Weekend,Sunday
"Monday, February 10, 2014",02/10/14,Work day,Monday
"Tuesday, February 11, 2014",02/11/14,Work day,Tuesday
"Wednesday, February 12, 2014",02/12/14,Work day,Wednesday
"Thursday, February 13, 2014",02/13/14,Work day,Thursday
"Friday, February 14, 2014",02/14/14,Work day,Friday
"Saturday, February 15, 2014",02/15/14,Weekend,Saturday
"Sunday, February 16, 2014",02/16/14,Weekend,Sunday
"Monday, February 17, 2014",02/17/14,President's Day,Monday
"Tuesday, February 18, 2014",02/18/14,Work day,Tuesday
"Wednesday, February 19, 2014",02/19/14,Work day,Wednesday
"Thursday, February 20, 2014",02/20/14,Work day,Thursday
"Friday, February 21, 2014",02/21/14,Work day,Friday
"Saturday, February 22, 2014",02/22/14,Weekend,Saturday
"Sunday, February 23, 2014",02/23/14,Weekend,Sunday
"Monday, February 24, 2014",02/24/14,Work day,Monday
"Tuesday, February 25, 2014",02/25/14,Work day,Tuesday
"Wednesday, February 26, 2014",02/26/14,Work day,Wednesday
"Thursday, February 27, 2014",02/27/14,Work day,Thursday
"Friday, February 28, 2014",02/28/14,Work day,Friday
"Saturday, March 1, 2014",03/01/14,Weekend,Saturday
"Sunday, March 2, 2014",03/02/14,Weekend,Sunday
"Monday, March 3, 2014",03/03/14,Work day,Monday
"Tuesday, March 4, 2014",03/04/14,Work day,Tuesday
"Wednesday, March 5, 2014",03/05/14,Work day,Wednesday
"Thursday, March 6, 2014",03/06/14,Work day,Thursday
