Year,Deaths,Vehicle miles travelled (billions),Fatalities per 100 million VMT,Population,"Fatalities per 100,000 population",Change (in percent)
1899,26,,,,,
1900,36,,,"76,094,000",0.047,NA
1901,54,,,"77,584,000",0.07,negative increase47.12%
1902,79,,,"79,163,000",0.1,negative increase43.38%
1903,117,,,"80,632,000",0.145,negative increase45.40%
1904,172,,,"82,166,000",0.209,negative increase44.26%
1905,252,,,"83,822,000",0.301,negative increase43.62%
1906,338,,,"85,450,000",0.396,negative increase31.57%
1907,581,,,"87,008,000",0.668,negative increase68.82%
1908,751,,,"88,710,000",0.847,negative increase26.78%
1909,"1,174",,,"90,490,000",1.297,negative increase53.25%
1910,"1,599",,,"92,407,000",1.73,negative increase33.38%
1911,"2,043",,,"93,863,000",2.177,negative increase25.79%
1912,"2,968",,,"95,335,000",3.113,negative increase43.03%
1913,"4,079",,,"97,225,000",4.195,negative increase34.76%
1914,"4,468",,,"99,111,000",4.508,negative increase7.45%
1915,"6,779",,,"100,546,000",6.742,negative increase49.56%
1916,"7,766",,,"101,961,000",7.617,negative increase12.97%
1917,"9,630",,,"103,268,000",9.325,negative increase22.43%
1918,"10,390",,,"103,208,000",10.067,negative increase7.95%
1919,"10,896",,,"104,514,000",10.425,negative increase3.56%
1920,"12,155",,,"106,461,000",11.417,negative increase9.51%
1921,"13,253",55.03,24.09,"108,538,000",12.21,negative increase6.95%
1922,"14,859",67.7,21.95,"110,049,000",13.502,negative increase10.58%
1923,"17,870",85,21.03,"111,947,000",15.963,negative increase18.22%
1924,"18,400",104.84,17.55,"114,109,000",16.125,negative increase1.01%
1925,"20,771",122.35,16.98,"115,829,000",17.932,negative increase11.21%
1926,"22,194",140.74,15.77,"117,397,000",18.905,negative increase5.42%
1927,"24,470",158.45,15.44,"119,035,000",20.557,negative increase8.74%
1928,"26,557",172.86,15.36,"120,509,000",22.037,negative increase7.20%
1929,"29,592",197.72,14.97,"121,767,000",24.302,negative increase10.28%
1930,"31,204",206.32,15.12,"123,076,741",25.353,negative increase4.33%
1931,"31,963",216.15,14.79,"124,039,648",25.768,negative increase1.64%
1932,"27,979",200.52,13.95,"124,840,471",22.412,positive decrease-13.03%
1933,"29,746",200.64,14.83,"125,578,763",23.687,negative increase5.69%
1934,"34,240",215.56,15.88,"126,373,773",27.094,negative increase14.38%
1935,"34,494",228.57,15.09,"127,250,232",27.107,negative increase0.05%
1936,"36,126",252.13,14.33,"128,053,180",28.212,negative increase4.07%
1937,"37,819",270.11,14,"128,824,829",29.357,negative increase4.06%
1938,"31,083",271.18,11.46,"129,824,939",23.942,positive decrease-18.44%
1939,"30,895",285.4,10.83,"130,879,718",23.606,positive decrease-1.41%
1940,"32,914",302.19,10.89,"132,122,446",24.912,negative increase5.53%
1941,"38,142",333.61,11.43,"133,402,471",28.592,negative increase14.77%
1942,"27,007",268.22,10.07,"134,859,553",20.026,positive decrease-29.96%
1943,"22,727",208.19,10.92,"136,739,353",16.621,positive decrease-17.00%
1944,"23,165",212.71,10.89,"138,397,345",16.738,negative increase0.71%
1945,"26,785",250.17,10.71,"139,928,165",19.142,negative increase14.36%
1946,"31,874",340.88,9.35,"141,388,566",22.544,negative increase17.77%
1947,"31,193",370.89,8.41,"144,126,071",21.643,positive decrease-4.00%
1948,"30,775",397.96,7.73,"146,631,302",20.988,positive decrease-3.03%
1949,"30,246",424.46,7.13,"149,188,130",20.274,positive decrease-3.40%
1950,"33,186",458.25,7.24,"152,271,417",21.794,negative increase7.50%
1951,"35,309",491.09,7.19,"154,877,889",22.798,negative increase4.61%
1952,"36,088",513.58,7.03,"157,552,740",22.905,negative increase0.47%
1953,"36,190",544.43,6.65,"160,184,192",22.593,positive decrease-1.36%
1954,"33,890",561.96,6.03,"163,025,854",20.788,positive decrease-7.99%
1955,"36,688",605.65,6.06,"165,931,202",22.11,negative increase6.36%
1956,"37,965",627.84,6.05,"168,903,031",22.477,negative increase1.66%
